pyram,clock
957,1670
646,1326
994,1828
584,1124
536,1641
301,1216
1103,1807
1776,2752
672,1507
766,3123
1189,3255
741,2417
1447,6148
942,2389
528,1996
708,1701
1210,2438
1126,965
362,2411
1177,2254
724,957
1607,1323
495,1105
891,1166
679,1484
1043,3136
269,992
1013,6745
839,1721
689,1697
555,3488
1243,935
364,850
1312,3535
1087,4803
402,919
1859,3091
723,922
305,828
232,3048
1026,2236
1055,2489
843,853
3585,5384
773,798
629,2682
996,2906
786,2421
1301,1385
1374,2698
570,2112
1502,961
800,1448
681,600
452,1265
781,3922
1359,2710
559,1236
600,911
501,1632
983,1090
597,1757
415,1021
583,1316
675,1103
752,2751
813,820
569,641
1077,3091
752,2078
820,2687
1133,3284
641,1572
1263,1639
600,1043
1251,3257
1073,3556
914,1369
474,1131
1259,2391
411,1752
553,2056
904,927
502,979
1926,3582
1366,1026
523,2151
1239,3102
1098,4391
1032,2441
381,791
979,1411
707,1025
535,2087
945,4234
475,6365
493,2010
560,1117
452,1980
709,3561
343,1528
1093,2051
304,1041
786,1591
591,1283
1063,4260
915,1685
922,1140
690,1815
488,1044
909,1742
552,2759
1723,2311
1346,2064
1001,802
1268,931
1205,3443
644,1217
1209,4754
569,1529
819,2307
556,4192
1529,1657
798,1571
415,2318
1730,3435
834,2028
1411,1158
403,1610
383,1958
963,1505
974,2540
965,3028
1192,1091
673,2064
880,1300
783,2938
381,2243
423,1290
878,1611
534,2263
1308,3679
1566,4137
1556,2118
804,1405
486,724
786,1479
321,678
843,1050
591,1663
779,814
460,2595
472,1595
1152,3335
1218,1438
385,1778
1502,6237
332,1037
755,2842
981,1704
1317,1412
356,1066
1402,2838
999,1418
1585,4962
412,855
735,1635
423,975
571,711
792,1277
584,2571
458,1359
707,1235
1260,3735
1037,2329
230,739
355,1051
650,1366
722,1442
396,1112
626,1458
795,2044
361,1891
366,1439
715,1263
578,1284
679,1503
1548,4496
2690,4125
423,2042
973,862
1023,5076
1611,4070
462,2299
564,1173
404,1853
1290,2336
698,1177
979,2663
534,1053
741,1425
2421,6289
333,1913
922,1956
878,1648
969,3959
559,1929
327,695
392,3361
682,1636
455,1748
1243,6742
1437,2410
792,1910
364,1233
1135,1842
523,753
873,3996
863,1782
489,1061
439,1261
687,1779
710,4007
570,2796
620,2113
